Intents,Is Followup,Total-total,Total-tagged,Total-untagged,Actual-total,Actual-tagged,Actual-untagged,Synth-total,Synth-tagged,Synth-untagged,No. of Entities,Names of Entities,Is Considered for Training,Reason
followup_calendar_show_event,YES,2654,2606,48,0,0,0,2654,2606,48,5,"['contact', 'action', 'number', 'number_unit', 'keyword']",YES,-
followup_news_search,YES,941,929,12,941,929,12,0,0,0,11,"['specific_time', 'range_time', 'news_type', 'news_source', 'item_no', 'category', 'topic', 'range_date', 'specific_date', 'location', 'news_category_type']",YES,-
followup_news_add_bookmark,YES,229,226,3,229,226,3,0,0,0,6,"['item_no', 'specific_date', 'category', 'range_date', 'topic', 'news_source']",YES,-
followup_news_show_bookmarks,YES,230,228,2,230,228,2,0,0,0,6,"['specific_date', 'category', 'topic', 'item_no', 'news_source', 'range_date']",YES,-
followup_news_delete_bookmark,YES,262,259,3,262,259,3,0,0,0,6,"['item_no', 'news_source', 'specific_date', 'category', 'range_date', 'topic']",YES,-
movies_play_trailer,NO,1148,1148,0,1148,1148,0,0,0,0,4,"['play_trailer', 'item_reference', 'movie_name', 'upcoming']",YES,-
restaurant_search,NO,9256,9004,252,9256,9004,252,0,0,0,19,"['location_near', 'cuisine', 'time', 'open_closed', 'delivery_option', 'restaurant_rating', 'payment_method', 'restaurant_name', 'restaurant_info', 'location', 'promotions', 'before_after', 'date', 'price_category', 'meeting', 'take_reservations', 'restaurant_features', 'time_range', 'date_range']",YES,-
carrefour_search_product,NO,5069,5069,0,2758,2758,0,2311,2311,0,8,"['name', 'sorting', 'type', 'unit', 'quantity', 'price_relation', 'price_units', 'price']",YES,-
followup_carrefour_search_product_action,YES,11032,11029,3,10031,10028,3,1001,1001,0,6,"['name', 'action', 'price', 'number', 'quantity_units', 'quantity']",YES,-
carrefour_view_cart,NO,358,0,358,358,0,358,0,0,0,0,[],YES,-
carrefour_add_product,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
followup_movies_food_selection,YES,549,545,4,549,545,4,0,0,0,3,"['munchies_name', 'food', 'no_of_items']",YES,-
movies_user_details,NO,426,424,2,426,424,2,0,0,0,9,"['country_code', 'date_of_birth', 'nationality', 'confirm', 'email_id', 'mobile_number', 'surname', 'first_name', 'title']",YES,-
followup_restaurant_search_filter,YES,1755,1740,15,1755,1740,15,0,0,0,17,"['promotions', 'payment_method', 'cuisine', 'rating', 'open_close', 'location_near', 'price_category', 'delivery_option', 'location', 'restaurant_features', 'time', 'date', 'takes_reservations', 'date_range', 'time_range', 'before_after', 'restaurant_name']",YES,-
followup_restaurant_search_price,YES,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
followup_restaurant_search_rating,YES,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
followup_restaurant_search_address,YES,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
followup_restaurant_search_phone,YES,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
followup_restaurant_search_reviews,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
movies_manage_account,NO,239,198,41,239,198,41,0,0,0,4,"['logout', 'purchase', 'personal_details', 'promotion']",YES,-
restaurant_info,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
followup_restaurant_search_hours,YES,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
hotel_search,NO,3095,2807,288,3095,2807,288,0,0,0,26,"['checkout_date', 'hotel_brand', 'checkin_date', 'hotel_rooms', 'room_type', 'hotel_nights', 'guests_adult', 'guests_child', 'room_tag', 'hotel_location', 'location_near', 'proximity_to', 'proximity_distance', 'star_rating', 'hotel_amenities', 'price_range', 'price_rangetype', 'rating_source', 'guest_rating', 'star_rating_relation', 'currency', 'guest_rating_relation', 'event', 'child_age', 'hotel_price_category', 'property_type']",YES,-
followup_hotel_search_info,YES,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
followup_hotel_search_sort,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
followup_hotel_search_filter,YES,1622,1596,26,1622,1596,26,0,0,0,17,"['hotel_amenities', 'star_rating', 'currency', 'price_range', 'price_rangetype', 'guest_rating_relation', 'guest_rating', 'room_tag', 'location_near', 'proximity_to', 'property_type', 'room_type', 'star_rating_relation', 'hotel_reviews', 'hotel_brand', 'proximity_distance', 'hotel_price_category']",YES,-
test,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
carrefour_change_product_quantity,NO,4025,4024,1,4025,4024,1,0,0,0,4,"['name', 'quantity_units', 'type', 'quantity']",YES,-
carrefour_delete_product,NO,12997,12996,1,1,0,1,12996,12996,0,3,"['name', 'quantity_units', 'quantity']",YES,-
followup_restaurant_search_sort,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
followup_email_compose_send,YES,816,0,816,816,0,816,0,0,0,0,[],NO,This followup intent is mapped to 5 main intents (more than 1)
followup_restaurant_search_info,YES,1809,1809,0,1809,1809,0,0,0,0,16,"['restaurant_info', 'item_no', 'price_category', 'open_closed', 'date_range', 'cuisine', 'date', 'time', 'time_range', 'payment_method', 'promotions', 'item_reference', 'before_after', 'restaurant_features', 'location_near', 'location']",YES,-
followup_restaurant_search_photos_menu,YES,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
followup_restaurant_search_location,YES,412,412,0,412,412,0,0,0,0,1,['location'],YES,-
restaurant_make_reservation,NO,3362,3046,316,3362,3046,316,0,0,0,6,"['date', 'num_people', 'restaurant_name', 'time', 'before_after', 'time_range']",YES,-
followup_news_read,YES,185,118,67,185,118,67,0,0,0,1,['item_no'],YES,-
followup_movies_play_trailer,YES,178,178,0,178,178,0,0,0,0,3,"['generic_action', 'volume_setting', 'control_action']",YES,-
followup_restaurant_make_reservation,YES,1295,1273,22,1295,1273,22,0,0,0,6,"['time', 'date', 'time_range', 'num_people', 'before_after', 'item_no']",NO,This followup intent is mapped to 2 main intents (more than 1)
followup_reservation_add_personal_details,YES,298,297,1,298,297,1,0,0,0,7,"['surname', 'first_name', 'name_title', 'email_id', 'country_code', 'mobile_number', 'reservation_notes']",YES,-
followup_news_open,YES,65,19,46,65,19,46,0,0,0,1,['item_no'],NO,Intents having No. of Records(<100) are Discarded
restaurant_list_reservation,NO,296,243,53,296,243,53,0,0,0,5,"['time', 'date_range', 'date', 'time_range', 'restaurant_name']",YES,-
restaurant_update_reservation,NO,998,931,67,998,931,67,0,0,0,8,"['new_time', 'time', 'restaurant_name', 'new_date', 'date', 'new_restaurant_name', 'new_num_people', 'num_people']",YES,-
restaurant_cancel_reservation,NO,375,302,73,375,302,73,0,0,0,5,"['date', 'time', 'date_range', 'restaurant_name', 'time_range']",YES,-
hints,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
followup_weather_tag_favorite_place,YES,149,39,110,149,39,110,0,0,0,1,['location'],YES,-
followup_weather_remove_favorite_place,YES,150,64,86,150,64,86,0,0,0,1,['location'],YES,-
followup_news_interest_filter,YES,139,139,0,139,139,0,0,0,0,1,['category'],YES,-
followup_movies_buy_tickets,YES,726,724,2,726,724,2,0,0,0,8,"['theatre_name', 'specific_time', 'specific_date', 'num_of_tickets', 'item_reference', 'item_no', 'seat_number', 'movie_name']",YES,-
followup_movies_showtimes,YES,881,881,0,881,881,0,0,0,0,24,"['item_no', 'item_reference', 'specific_time', 'specific_date', 'genre', 'starring', 'cast', 'synopsis', 'director', 'director_name', 'theatre_name', 'range_date', 'range_time', 'rating', 'subtitles', 'language', 'experience_type', 'before_after', 'num_of_tickets', 'movies_location', 'age_rating', 'upcoming', 'running_time_range', 'range_relation']",YES,-
followup_generic_sort,YES,1345,588,757,1345,588,757,0,0,0,4,"['sort_criteria_order', 'sort_criteria', 'proximity_to', 'sort_order']",NO,This followup intent is mapped to 2 main intents (more than 1)
